Location,Nearby Locations
Banjara Hills,"Jubilee Hills|4, Panjagutta|5, Film Nagar|3, Somajiguda|6, Ameerpet|7"
Secunderabad,"Paradise|7, Begumpet|6, Marredpally|5, Bowenpally|4, Mahankali|8"
Hitech City,"Madhapur|5, Gachibowli|4, Kondapur|6, Manikonda|7, Raidurgam|3"
Charminar,"Hussaini Alam|8, Mirchowk|7, Falaknuma|9, Bahadurpura|7, Kalapathar|8"
Kukatpally,"KPHB|6, Miyapur|5, Chandanagar|4, Jeedimetla|7, Sanathnagar|5"
Madhapur,"Hitech City|5, Gachibowli|6, Jubilee Hills|4, Kondapur|5, Raidurgam|7"
Ameerpet,"SR Nagar|6, Panjagutta|5, Begumpet|7, Punjagutta|4, Sanathnagar|6"
Mehdipatnam,"Asif Nagar|7, Humayun Nagar|6, Golconda|5, Tolichowki|6, Langar Houz|8"
Dilsukhnagar,"LB Nagar|7, Kothapet|6, Chaitanyapuri|5, Vanasthalipuram|6, Hayathnagar|4"
Begumpet,"Panjagutta|5, Secunderabad|6, Banjara Hills|4, SR Nagar|7, Prakashnagar|5"
