Location,Nearby Police Stations
Banjara Hills,"Jubilee Hills,Panjagutta,Film Nagar,Narayanguda,SR Nagar"
Secunderabad,"Paradise,Begumpet,Marredpally,Bowenpally,Mahankali"
Hitech City,"Madhapur,Gachibowli,Raidurgam,Miyapur,Chandanagar"
Charminar,"Mirchowk,Hussaini Alam,Falaknuma,Bahadurpura,Kalapathar"
Kukatpally,"KPHB,Miyapur,Chandanagar,Jeedimetla,Sanathnagar"
Madhapur,"Gachibowli,Hitech City,Raidurgam,Kondapur,Jubilee Hills"
Ameerpet,"SR Nagar,Panjagutta,Begumpet,Sanathnagar,Punjagutta"
Mehdipatnam,"Asif Nagar,Humayun Nagar,Golconda,Langar Houz,Tolichowki"
Dilsukhnagar,"LB Nagar,Kothapet,Chaitanyapuri,Vanasthalipuram,Hayathnagar"
Begumpet,"Panjagutta,Secunderabad,Banjara Hills,SR Nagar,Prakashnagar"
