Location,Nearby Police Stations
Bandra,"Khar,Santacruz,BKC,Kherwadi,Nirmal Nagar"
Andheri,"Juhu,Oshiwara,DN Nagar,Versova,MIDC"
Dadar,"Shivaji Park,Matunga,Worli,Kurla,Mahim"
Colaba,"Marine Drive,Cuffe Parade,Fort,Azad Maidan,MRA Marg"
Powai,"Saki Naka,Parksite,Vikhroli,Kanjurmarg,Bhandup"
Borivali,"Kandivali,Dahisar,MHB Colony,Goregaon,Malad"
Chembur,"Tilak Nagar,RCF,Trombay,Govandi,Mankhurd"
Malad,"Malwani,Goregaon,Kandivali,Dindoshi,Bangur Nagar"
Worli,"NM Joshi Marg,Dadar,Tardeo,Byculla,Lower Parel"
Ghatkopar,"Pant Nagar,Parksite,Tilak Nagar,Vikhroli,Kurla"
